clean_content,score,appId,sentiment,polarity,appName,string_len,word_count
certain bug draft pick phase screen load percentag screen phone sudden connect phone clear cach everyth stuck load screen network connect,1,com.mobile.legends,0,negative,mlbb,137,21
rate higher problem hold abil alway press problem press skill track predict movement match projectil hero abil think caus aspect ratio phone sort hope issu resolv give star edit later still fix nice job star best rate,1,com.mobile.legends,0,negative,mlbb,217,37
recent even start game alway hero select screen restart load screen alway around tri game turn game launcher noth work problem phone work wonder three,1,com.mobile.legends,0,negative,mlbb,150,25
game fun interest lot recent game mani time start battl around delet continu sometim connect run realli disturb user pleas minim bug,1,com.mobile.legends,0,negative,mlbb,132,22
matchmak use phone ram super fast connect complet system improv system spent lot money time mole lost left game never made lost much credit score fix lose lot player sure,1,com.mobile.legends,0,negative,mlbb,170,30
love game lot new updat experienc lag low screen black especi game magic chess end respons icon slow even chang profil photo album fix come back pleas focus hero effect improv qualiti game play,1,com.mobile.legends,0,negative,mlbb,193,34
unfair match move like enemi team fight whole team strategi lag featur ad game fight player gon na lose control connect came back alreadi dead good connect game go interfer program game like thought random match within lose,1,com.mobile.legends,0,negative,mlbb,223,38
game realli fun first get realli pay cash tri see would help go play match get stuck load screen game reason back match everyon level got got mail say game froze way easili fix even talk anybodi help thank god give money,1,com.mobile.legends,0,negative,mlbb,220,42
recent rank buggi play duo player left matchmak screen reconnect lost continu even restart hope would notic bug caus lose credit score lose,1,com.mobile.legends,0,negative,mlbb,139,23
game say nice user friend game littl game experi specif magic chess mode first fine time get ridicul like point phone longer choic exit game els phone stay lag hope fix,1,com.mobile.legends,0,negative,mlbb,168,31
game fun cool back old day come back game got signific wors main due ping liter die go back die game childish textur game much much take would realli older version version better,1,com.mobile.legends,0,negative,mlbb,178,33
bring back old perhap skill effect skill basic attack chang alway good us prefer old least make option choos skill prefer game sinc season put lot money game pleas give better write,1,com.mobile.legends,0,negative,mlbb,181,32
start less offer mobil game know uneven new pay win far give upgrad build balanc see hand everi game last least huge reach level within matter top damag map mess everyth els,1,com.mobile.legends,0,negative,mlbb,173,32
typic drag tri make seem fun week everyth protect progress turn end string loos chanc progress sight sick mobil stand go grind find fun game later fun time begin forget,1,com.mobile.legends,0,negative,mlbb,168,30
game work fine issu last two say altho issu one fast everi time play match word result credit score fix issu game anyway better return leagu never issu,1,com.mobile.legends,0,negative,mlbb,151,28
although game fast pace style friend thing complain match fair game like newli one matchmak quit good sinc alway end bad pro graphic speak spar overal game friend easi learn plus fast pace play anywher,1,com.mobile.legends,0,negative,mlbb,201,35
game immedi background like even want background soon leav someth like mayb repli chat game reload return heck even make reload stay photo galleri long choos imag still left pathet,1,com.mobile.legends,0,negative,mlbb,180,30
game even play classic brawl rank even stabl network connect mani time tap enter matchmak know mayb game wast time load screen took long open data hope notic start love game problem,1,com.mobile.legends,0,negative,mlbb,181,32
matchmak disappoint everi strong beginn alli time game good matchmak minimum play game enjoy solo dont expert enjoy game much mani player troll,1,com.mobile.legends,0,negative,mlbb,143,23
hi ever see read review pleas fix issu reconnect game perform much delay frame rate everi game also annoy even tri reconnect game game reconnect even though good connect think make lose credit score get pleas best help great day ahead,1,com.mobile.legends,0,negative,mlbb,234,41
match fair atroci troll heavili enough caus repeat throw much pop enter game much caus entir interfac realli messi complic pleas simplifi improv match system sinc season,1,com.mobile.legends,0,negative,mlbb,169,27
gave one star result failur fix encount everi match rank mode friend around two pass unknown error pleas tri screen need go start made back game came like game everyth goe stupid,1,com.mobile.legends,0,negative,mlbb,178,32
edit gave one star alway sent back home screen irrit part alway happen start battl even tri retriev game game finish would abl use hope would fix,1,com.mobile.legends,0,negative,mlbb,145,27
enjoy game coupl legend rank alway stuck load screen match anyth also even tho time still cant enter match,1,com.mobile.legends,0,negative,mlbb,106,19
advanc server quit time love new new problem game lag intens kept game latenc unreason frame rate alreadi alway alway freez game latenc glad could fix,1,com.mobile.legends,0,negative,mlbb,150,26
sudden middl rank game tri open stuck load screen got back match finish hope problem fix caus clear game experi,1,com.mobile.legends,0,negative,mlbb,111,20
use like late fun thing hate imbal matchmak almost time play get worst alli game strategi game luck special magic chess shop give u need upgrad pleas fix hope still make game fun strategi game,1,com.mobile.legends,0,negative,mlbb,192,35
twice open game logo black screen instead wallpap load screen anoth issu match ping green also obvious lag pleas fix major,1,com.mobile.legends,0,negative,mlbb,122,21
almost transpar color skill get bit much never realli enemi hard notic may look nice first inconveni rather attack effect face rather see,1,com.mobile.legends,0,negative,mlbb,137,23
realli fun despit hero new like new still fix matchmak know new system dodg team work team get go toxic even one problem game less enjoy quit matchmak still poor annoy record,1,com.mobile.legends,0,negative,mlbb,174,32
take forev open account stuck game load part hope open soon noth also phone per friend noth still open account hope fix soon patienc deal game,1,com.mobile.legends,0,negative,mlbb,142,26
twice appar one hero franco sudden game tri go back game game gone log twice got report say lost credit score recent today game thing lost credit score fix bug pleas,1,com.mobile.legends,0,negative,mlbb,165,31
honest disappoint see matchmak get bad time epic rank almost game either new skill hero game enemi team got good player know use hero proper know unlik team assign disappoint disappoint especi,1,com.mobile.legends,0,negative,mlbb,192,32
time load game stuck even clear cach delet caus stuck certain place intermiss budg get fix random fix also,1,com.mobile.legends,0,negative,mlbb,106,19
give star game finish updat open see black screen annoy need clear data open game need data us player poor connect limit data take time cost us time,1,com.mobile.legends,0,negative,mlbb,148,28
game cool problem alway say even ping good condit want get back game system get invalid go back game even tri alway say pleas someth also bug hero even move pleas fix last everi updat data ad almost eat devic space thank,1,com.mobile.legends,0,negative,mlbb,220,42
enjoy hate game full unfair last lag unbear also thank fix misunderstand give three sinc still need fix hard work new updat match unfair grade system,1,com.mobile.legends,0,negative,mlbb,149,26
